,away,true away score,pred away,pred home,true home score,home,true result,pred result,spread pred,bettable?,bet confidence,bet recommended?,won the bet?
64,LA,26,29.81,21.87,17,SEA,9,7.94,1.5,True,4.293333333333334,True,True
66,PHI,21,17.84,23.28,18,CAR,3,-5.44,-3.0,True,0.8133333333333335,False,False
68,NE,25,20.6,11.48,22,HOU,3,9.12,8.5,True,0.07294117647058815,False,False
69,TEN,37,26.85,17.73,19,JAX,18,9.12,4.5,True,1.0266666666666664,True,True
70,DET,17,14.44,27.39,19,MIN,-2,-12.94,-10.0,True,0.29399999999999993,False,False
71,DEN,19,23.67,19.44,27,PIT,-8,4.23,1.5,True,1.8200000000000003,True,False
72,MIA,17,18.5,37.72,45,TB,-28,-19.22,-9.5,True,1.023157894736842,True,True
73,NO,33,27.64,14.83,22,WAS,11,12.81,2.5,True,4.1240000000000006,True,True
75,CHI,20,16.92,22.48,9,LV,11,-5.56,-5.5,True,0.010909090909090839,False,False
76,SF,10,21.74,34.29,17,ARI,-7,-12.55,-5.5,True,1.281818181818182,True,True
77,NYG,20,18.91,37.41,44,DAL,-24,-18.5,-7.0,True,1.6428571428571428,True,True
